,Country,Region,City,Longitude,Latitude,attacktype,nkill,nwound,Date,ntotal
322,Iraq,Middle East & North Africa,Abu Ghraib,44.065556,33.291944,Bombing/Explosion,4.0,63.0,9-30-2004,67.0
323,Iraq,Middle East & North Africa,Baghdad,44.326021000000004,33.28131,Bombing/Explosion,41.0,10.0,9-30-2004,51.0
324,Pakistan,South Asia,Sialkot,74.530343,32.493536999999996,Bombing/Explosion,31.0,51.0,10-1-2004,82.0
325,Iraq,Middle East & North Africa,Baghdad,44.39391,33.308144,Bombing/Explosion,15.0,81.0,10-4-2004,96.0
326,Pakistan,South Asia,Multan,71.467629,30.197843,Bombing/Explosion,41.0,100.0,10-7-2004,141.0
327,Egypt,Middle East & North Africa,Taba,34.894903,29.492568,Bombing/Explosion,34.0,159.0,10-7-2004,193.0
328,Iraq,Middle East & North Africa,Mashahidah,44.235244,33.634772999999996,Bombing/Explosion,6.0,100.0,10-19-2004,106.0
329,Iraq,Middle East & North Africa,Al-Baghdadi,42.55,33.85,Bombing/Explosion,17.0,40.0,10-23-2004,57.0
330,Iraq,Middle East & North Africa,Najaf,44.330818,32.000596,Bombing/Explosion,62.0,130.0,12-19-2004,192.0
331,Iraq,Middle East & North Africa,Mosul,43.13,36.34,Bombing/Explosion,22.0,66.0,12-21-2004,88.0
332,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,13.0,66.0,12-27-2004,79.0
333,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,15.0,48.0,12-28-2004,63.0
334,Saudi Arabia,Middle East & North Africa,Riyadh,46.714581,24.64732,Bombing/Explosion,8.0,90.0,12-29-2004,98.0
335,Iraq,Middle East & North Africa,Hillah,44.433269,32.483494,Bombing/Explosion,11.0,41.0,1-5-2005,52.0
336,Thailand,Southeast Asia,Yala,101.280408,6.5411019999999995,Bombing/Explosion,1.0,59.0,1-16-2005,60.0
337,Iraq,Middle East & North Africa,Hillah,44.433333000000005,32.483333,Bombing/Explosion,110.0,130.0,2-28-2005,240.0
338,Iraq,Middle East & North Africa,Mosul,43.13,36.34,Bombing/Explosion,47.0,80.0,3-10-2005,127.0
339,Iraq,Middle East & North Africa,Tal Afar,42.451435,36.374029,Bombing/Explosion,25.0,30.0,5-1-2005,55.0
340,Iraq,Middle East & North Africa,Arbil,44.009167,36.191111,Bombing/Explosion,60.0,150.0,5-4-2005,210.0
