,month,killed,wounded
113,1991-05-01 00:00:00,493,575
148,1991-06-01 00:00:00,953,534
370,1991-07-01 00:00:00,929,627
125,1991-08-01 00:00:00,817,898
160,1991-09-01 00:00:00,837,533
58,1991-10-01 00:00:00,877,794
83,1991-11-01 00:00:00,883,750
44,1991-12-01 00:00:00,714,870
379,1992-01-01 00:00:00,793,564
254,1992-02-01 00:00:00,794,582
350,1992-03-01 00:00:00,847,864
402,1992-04-01 00:00:00,1319,1442
116,1992-05-01 00:00:00,819,941
149,1992-06-01 00:00:00,522,428
369,1992-07-01 00:00:00,633,648
122,1992-08-01 00:00:00,753,975
16,1992-09-01 00:00:00,799,406
56,1992-10-01 00:00:00,1036,711
85,1992-11-01 00:00:00,566,1520
45,1992-12-01 00:00:00,795,750
381,1994-01-01 00:00:00,527,448
255,1994-02-01 00:00:00,420,577
349,1994-03-01 00:00:00,639,834
400,1994-04-01 00:00:00,2047,618
110,1994-05-01 00:00:00,574,246
143,1994-06-01 00:00:00,535,976
375,1994-07-01 00:00:00,551,845
128,1994-08-01 00:00:00,206,434
165,1994-09-01 00:00:00,431,505
54,1994-10-01 00:00:00,623,837
87,1994-11-01 00:00:00,513,520
47,1994-12-01 00:00:00,362,369
380,1995-01-01 00:00:00,358,806
256,1995-02-01 00:00:00,455,538
348,1995-03-01 00:00:00,356,6091
401,1995-04-01 00:00:00,670,1634
109,1995-05-01 00:00:00,411,281
144,1995-06-01 00:00:00,431,492
374,1995-07-01 00:00:00,501,624
129,1995-08-01 00:00:00,518,802
62,1995-09-01 00:00:00,535,668
55,1995-10-01 00:00:00,792,933
86,1995-11-01 00:00:00,341,694
48,1995-12-01 00:00:00,566,725
383,1996-01-01 00:00:00,476,1793
257,1996-02-01 00:00:00,428,805
347,1996-03-01 00:00:00,421,1028
398,1996-04-01 00:00:00,641,585
112,1996-05-01 00:00:00,1079,692
145,1996-06-01 00:00:00,540,1329
373,1996-07-01 00:00:00,928,1349
126,1996-08-01 00:00:00,340,530
46,1996-09-01 00:00:00,516,864
52,1996-10-01 00:00:00,442,359
89,1996-11-01 00:00:00,361,336
49,1996-12-01 00:00:00,476,1027
382,1997-01-01 00:00:00,730,848
