,Country,Region,City,Longitude,Latitude,attacktype,nkill,nwound,Date,ntotal
1908,United States,North America,Boston,-71.080976,42.350265,Bombing/Explosion,1.5,132.0,4-15-2013,133.5
1909,Pakistan,South Asia,Peshawar,71.580409,34.004378,Bombing/Explosion,18.0,60.0,4-16-2013,78.0
1910,Iraq,Middle East & North Africa,Baghdad,44.290423,33.297678000000005,Bombing/Explosion,28.0,50.0,4-18-2013,78.0
1911,Pakistan,South Asia,Quetta,66.957537,30.181712,Bombing/Explosion,7.0,30.0,4-23-2013,37.0
1912,Pakistan,South Asia,Karachi,66.96645,24.950110000000002,Bombing/Explosion,11.0,40.0,4-26-2013,51.0
1913,Iraq,Middle East & North Africa,Baghdad,44.385052,33.315037,Bombing/Explosion,4.0,46.0,4-26-2013,50.0
1914,Kenya,Sub-Saharan Africa,Kikwewchi,34.552985,0.594324,Unknown,0.0,50.0,4-26-2013,50.0
1915,Pakistan,South Asia,Karachi,66.995903,24.869617,Bombing/Explosion,6.0,28.0,4-27-2013,34.0
1916,Pakistan,South Asia,Kohat,71.433738,33.581733,Bombing/Explosion,5.0,26.0,4-28-2013,31.0
1917,Pakistan,South Asia,Peshawar,71.498678,34.003133,Bombing/Explosion,9.0,43.0,4-29-2013,52.0
1918,Syria,Middle East & North Africa,Damascus,36.298056,33.51247,Bombing/Explosion,9.0,60.0,4-30-2013,69.0
1919,Iraq,Middle East & North Africa,Baghdad,44.388278,33.316364,Bombing/Explosion,5.0,31.0,5-3-2013,36.0
1920,Somalia,Sub-Saharan Africa,Mogadishu,45.350132,2.041995,Bombing/Explosion,9.0,25.0,5-5-2013,34.0
1921,Tanzania,Sub-Saharan Africa,Arusha,36.67445,-3.365789,Bombing/Explosion,3.0,60.0,5-5-2013,63.0
1922,Pakistan,South Asia,Parachinar,70.097065,33.900164000000004,Bombing/Explosion,23.0,70.0,5-6-2013,93.0
1923,Pakistan,South Asia,Doaba,70.066062,33.000569,Assassination,13.0,31.0,5-7-2013,44.0
1924,Turkey,Middle East & North Africa,Reyhanli,36.570710999999996,36.266837,Bombing/Explosion,26.5,70.0,5-11-2013,96.5
1925,Turkey,Middle East & North Africa,Reyhanli,36.570710999999996,36.266837,Bombing/Explosion,26.5,70.0,5-11-2013,96.5
1926,Iraq,Middle East & North Africa,Shirqat,43.228056,35.517222,Assassination,4.0,101.0,5-11-2013,105.0
1927,Pakistan,South Asia,Quetta,67.00275400000001,30.193804999999998,Assassination,11.0,76.0,5-12-2013,87.0
1928,Afghanistan,South Asia,Musa Qala district,64.80789200000001,32.363723,Bombing/Explosion,9.0,27.0,5-13-2013,36.0
1929,Libya,Middle East & North Africa,Benghazi,20.066667000000002,32.116667,Bombing/Explosion,9.0,30.0,5-13-2013,39.0
1930,Afghanistan,South Asia,Mazari Sharif,67.116667,36.7,Unarmed Assault,0.0,150.0,5-14-2013,150.0
1931,Afghanistan,South Asia,Kabul,69.21325300000001,34.499217,Bombing/Explosion,16.0,40.0,5-16-2013,56.0
